 [9]: -21.0, Avg: -20.67, Max: -19.0, Best_avg: -20.67
 [19]: -21.0, Avg: -20.67, Max: -19.0, Best_avg: -20.67
 [29]: -21.0, Avg: -20.44, Max: -19.0, Best_avg: -20.44
 [39]: -20.0, Avg: -20.11, Max: -19.0, Best_avg: -20.11
 [49]: -21.0, Avg: -20.00, Max: -17.0, Best_avg: -20.00
 [59]: -20.0, Avg: -20.11, Max: -17.0, Best_avg: -20.00
 [69]: -21.0, Avg: -20.22, Max: -17.0, Best_avg: -20.00
 [79]: -20.0, Avg: -20.00, Max: -17.0, Best_avg: -20.00
 [89]: -20.0, Avg: -20.33, Max: -17.0, Best_avg: -20.00
 [99]: -18.0, Avg: -20.11, Max: -17.0, Best_avg: -20.00
 [109]: -20.0, Avg: -20.00, Max: -17.0, Best_avg: -20.00
 [119]: -20.0, Avg: -20.33, Max: -17.0, Best_avg: -20.00
 [129]: -20.0, Avg: -20.22, Max: -17.0, Best_avg: -20.00
 [139]: -21.0, Avg: -19.33, Max: -17.0, Best_avg: -19.33
 [149]: -21.0, Avg: -20.00, Max: -17.0, Best_avg: -19.33
 [159]: -20.0, Avg: -20.22, Max: -17.0, Best_avg: -19.33
 [169]: -20.0, Avg: -20.00, Max: -17.0, Best_avg: -19.33
 [179]: -21.0, Avg: -20.33, Max: -17.0, Best_avg: -19.33
 [189]: -21.0, Avg: -19.67, Max: -17.0, Best_avg: -19.33
 [199]: -19.0, Avg: -19.89, Max: -17.0, Best_avg: -19.33
 [209]: -16.0, Avg: -19.89, Max: -16.0, Best_avg: -19.33
 [219]: -17.0, Avg: -20.00, Max: -16.0, Best_avg: -19.33
 [229]: -19.0, Avg: -20.44, Max: -16.0, Best_avg: -19.33
 [239]: -21.0, Avg: -19.11, Max: -16.0, Best_avg: -19.11
 [249]: -21.0, Avg: -19.22, Max: -16.0, Best_avg: -19.11
 [259]: -17.0, Avg: -18.78, Max: -16.0, Best_avg: -18.78
 [269]: -21.0, Avg: -19.11, Max: -16.0, Best_avg: -18.78
 [279]: -19.0, Avg: -20.00, Max: -16.0, Best_avg: -18.78
 [289]: -20.0, Avg: -19.22, Max: -16.0, Best_avg: -18.78
 [299]: -18.0, Avg: -19.89, Max: -16.0, Best_avg: -18.78
 [309]: -21.0, Avg: -19.67, Max: -16.0, Best_avg: -18.78
 [319]: -20.0, Avg: -19.44, Max: -16.0, Best_avg: -18.78
 [329]: -14.0, Avg: -19.89, Max: -14.0, Best_avg: -18.78
 [339]: -18.0, Avg: -19.22, Max: -14.0, Best_avg: -18.78
 [349]: -19.0, Avg: -19.33, Max: -14.0, Best_avg: -18.78
 [359]: -18.0, Avg: -19.11, Max: -14.0, Best_avg: -18.78
 [369]: -17.0, Avg: -19.56, Max: -14.0, Best_avg: -18.78
 [379]: -20.0, Avg: -20.11, Max: -14.0, Best_avg: -18.78
 [389]: -20.0, Avg: -19.11, Max: -14.0, Best_avg: -18.78
 [399]: -15.0, Avg: -18.67, Max: -14.0, Best_avg: -18.67
 [409]: -21.0, Avg: -19.78, Max: -14.0, Best_avg: -18.67
 [419]: -20.0, Avg: -18.11, Max: -14.0, Best_avg: -18.11
 [429]: -18.0, Avg: -18.78, Max: -14.0, Best_avg: -18.11
 [439]: -20.0, Avg: -17.89, Max: -14.0, Best_avg: -17.89
 [449]: -21.0, Avg: -19.56, Max: -14.0, Best_avg: -17.89
 [459]: -17.0, Avg: -18.56, Max: -14.0, Best_avg: -17.89
 [469]: -19.0, Avg: -18.89, Max: -14.0, Best_avg: -17.89
 [479]: -19.0, Avg: -18.00, Max: -14.0, Best_avg: -17.89
 [489]: -20.0, Avg: -17.67, Max: -14.0, Best_avg: -17.67
 [499]: -18.0, Avg: -17.78, Max: -14.0, Best_avg: -17.67
 [509]: -18.0, Avg: -18.11, Max: -11.0, Best_avg: -17.67
 [519]: -16.0, Avg: -18.44, Max: -11.0, Best_avg: -17.67
 [529]: -17.0, Avg: -17.00, Max: -11.0, Best_avg: -17.00
 [539]: -16.0, Avg: -18.11, Max: -11.0, Best_avg: -17.00
 [549]: -15.0, Avg: -18.22, Max: -11.0, Best_avg: -17.00
 [559]: -14.0, Avg: -17.56, Max: -11.0, Best_avg: -17.00
 [569]: -16.0, Avg: -18.11, Max: -11.0, Best_avg: -17.00
 [579]: -16.0, Avg: -16.78, Max: -11.0, Best_avg: -16.78
 [589]: -18.0, Avg: -18.00, Max: -11.0, Best_avg: -16.78
 [599]: -16.0, Avg: -17.00, Max: -11.0, Best_avg: -16.78
 [609]: -13.0, Avg: -16.33, Max: -11.0, Best_avg: -16.33
 [619]: -16.0, Avg: -16.67, Max: -11.0, Best_avg: -16.33
 [629]: -17.0, Avg: -17.11, Max: -11.0, Best_avg: -16.33
 [639]: -14.0, Avg: -16.78, Max: -11.0, Best_avg: -16.33
 [649]: -16.0, Avg: -15.44, Max: -11.0, Best_avg: -15.44
 [659]: -13.0, Avg: -15.11, Max: -10.0, Best_avg: -15.11
 [669]: -17.0, Avg: -14.56, Max: -10.0, Best_avg: -14.56
 [679]: -14.0, Avg: -15.89, Max: -10.0, Best_avg: -14.56
 [689]: -14.0, Avg: -15.00, Max: -10.0, Best_avg: -14.56
 [699]: -16.0, Avg: -16.22, Max: -10.0, Best_avg: -14.56
 [709]: -15.0, Avg: -15.22, Max: -10.0, Best_avg: -14.56
 [719]: -20.0, Avg: -14.22, Max: -10.0, Best_avg: -14.22
 [729]: -11.0, Avg: -13.89, Max: -8.0, Best_avg: -13.89
 [739]: -15.0, Avg: -14.67, Max: -8.0, Best_avg: -13.89
 [749]: -20.0, Avg: -14.78, Max: -8.0, Best_avg: -13.89
 [759]: -15.0, Avg: -14.00, Max: -8.0, Best_avg: -13.89
 [769]: -16.0, Avg: -13.33, Max: -8.0, Best_avg: -13.33
 [779]: -17.0, Avg: -15.00, Max: -8.0, Best_avg: -13.33
 [789]: -15.0, Avg: -14.22, Max: -7.0, Best_avg: -13.33
 [799]: -17.0, Avg: -12.00, Max: -5.0, Best_avg: -12.00
 [809]: -16.0, Avg: -14.33, Max: -5.0, Best_avg: -12.00
 [819]: -19.0, Avg: -14.89, Max: -5.0, Best_avg: -12.00
 [829]: -11.0, Avg: -13.22, Max: -5.0, Best_avg: -12.00
 [839]: -15.0, Avg: -15.22, Max: -5.0, Best_avg: -12.00
 [849]: -6.0, Avg: -14.22, Max: -5.0, Best_avg: -12.00
 [859]: -13.0, Avg: -12.11, Max: -5.0, Best_avg: -12.00
 [869]: -16.0, Avg: -11.67, Max: -5.0, Best_avg: -11.67
 [879]: -6.0, Avg: -13.67, Max: -5.0, Best_avg: -11.67
 [889]: -11.0, Avg: -11.11, Max: -3.0, Best_avg: -11.11
 [899]: -9.0, Avg: -11.33, Max: -3.0, Best_avg: -11.11
 [909]: -15.0, Avg: -13.11, Max: -3.0, Best_avg: -11.11
 [919]: -12.0, Avg: -10.67, Max: -3.0, Best_avg: -10.67
 [929]: -6.0, Avg: -11.22, Max: -3.0, Best_avg: -10.67
