 [9]: -21.0, Avg: -20.67, Max: -20.0, Best_avg: -20.67
 [19]: -19.0, Avg: -19.89, Max: -18.0, Best_avg: -19.89
 [29]: -21.0, Avg: -20.67, Max: -18.0, Best_avg: -19.89
 [39]: -20.0, Avg: -20.11, Max: -18.0, Best_avg: -19.89
 [49]: -21.0, Avg: -20.00, Max: -18.0, Best_avg: -19.89
 [59]: -20.0, Avg: -20.44, Max: -18.0, Best_avg: -19.89
 [69]: -20.0, Avg: -19.56, Max: -17.0, Best_avg: -19.56
 [79]: -21.0, Avg: -19.78, Max: -17.0, Best_avg: -19.56
 [89]: -21.0, Avg: -19.78, Max: -17.0, Best_avg: -19.56
 [99]: -20.0, Avg: -20.22, Max: -17.0, Best_avg: -19.56
 [109]: -21.0, Avg: -19.67, Max: -17.0, Best_avg: -19.56
 [119]: -19.0, Avg: -19.89, Max: -17.0, Best_avg: -19.56
 [129]: -20.0, Avg: -20.33, Max: -17.0, Best_avg: -19.56
 [139]: -20.0, Avg: -19.33, Max: -17.0, Best_avg: -19.33
 [149]: -19.0, Avg: -20.00, Max: -17.0, Best_avg: -19.33
 [159]: -19.0, Avg: -18.89, Max: -14.0, Best_avg: -18.89
 [169]: -21.0, Avg: -19.56, Max: -14.0, Best_avg: -18.89
 [179]: -20.0, Avg: -19.67, Max: -14.0, Best_avg: -18.89
 [189]: -21.0, Avg: -19.78, Max: -14.0, Best_avg: -18.89
 [199]: -20.0, Avg: -19.89, Max: -14.0, Best_avg: -18.89
 [209]: -21.0, Avg: -19.44, Max: -14.0, Best_avg: -18.89
 [219]: -20.0, Avg: -19.56, Max: -14.0, Best_avg: -18.89
 [229]: -19.0, Avg: -19.89, Max: -14.0, Best_avg: -18.89
 [239]: -20.0, Avg: -19.67, Max: -14.0, Best_avg: -18.89
 [249]: -19.0, Avg: -19.11, Max: -14.0, Best_avg: -18.89
 [259]: -19.0, Avg: -18.89, Max: -14.0, Best_avg: -18.89
 [269]: -21.0, Avg: -19.33, Max: -14.0, Best_avg: -18.89
 [279]: -21.0, Avg: -19.11, Max: -14.0, Best_avg: -18.89
 [289]: -20.0, Avg: -18.33, Max: -14.0, Best_avg: -18.33
 [299]: -15.0, Avg: -19.22, Max: -14.0, Best_avg: -18.33
 [309]: -19.0, Avg: -18.56, Max: -14.0, Best_avg: -18.33
 [319]: -20.0, Avg: -19.11, Max: -14.0, Best_avg: -18.33
 [329]: -19.0, Avg: -17.67, Max: -14.0, Best_avg: -17.67
 [339]: -16.0, Avg: -18.33, Max: -14.0, Best_avg: -17.67
 [349]: -16.0, Avg: -18.67, Max: -14.0, Best_avg: -17.67
 [359]: -20.0, Avg: -19.11, Max: -14.0, Best_avg: -17.67
 [369]: -19.0, Avg: -18.22, Max: -14.0, Best_avg: -17.67
 [379]: -20.0, Avg: -18.44, Max: -14.0, Best_avg: -17.67
 [389]: -16.0, Avg: -18.78, Max: -14.0, Best_avg: -17.67
 [399]: -18.0, Avg: -17.44, Max: -14.0, Best_avg: -17.44
 [409]: -20.0, Avg: -17.67, Max: -13.0, Best_avg: -17.44
 [419]: -18.0, Avg: -18.89, Max: -13.0, Best_avg: -17.44
 [429]: -20.0, Avg: -18.22, Max: -13.0, Best_avg: -17.44
 [439]: -19.0, Avg: -18.67, Max: -13.0, Best_avg: -17.44
 [449]: -19.0, Avg: -17.67, Max: -13.0, Best_avg: -17.44
 [459]: -17.0, Avg: -18.56, Max: -13.0, Best_avg: -17.44
